np_previous_word,np_one_word,np_one_word_next,np_two_word,np_two_word_next,np_three_word,np_three_word_next
accusing,you,of,"('you', 'of')",injury,"('you', 'of', 'injury')",
you,of,injury,"('of', 'injury')",,"('of', 'injury', '')","
"
of,injury,,"('injury', '')","
","
","
"
injury,,"
","
","
","
","
"
"
",be,where,"('be', 'where')",you,"('be', 'where', 'you')",list
be,where,you,"('where', 'you')",list,"('where', 'you', 'list')",
where,you,list,"('you', 'list')",,"('you', 'list', '')",your
you,list,,"('list', '')",your,"('list', '', 'your')",charter
list,,your,"('', 'your')",charter,"('', 'your', 'charter')",is
,your,charter,"('your', 'charter')",is,"('your', 'charter', 'is')",so
your,charter,is,"('charter', 'is')",so,"('charter', 'is', 'so')",strong
charter,is,so,"('is', 'so')",strong,"('is', 'so', 'strong')","
"
is,so,strong,"('so', 'strong')","
","
","
"
so,strong,"
","
","
","
","
"
"
",that,you,"('that', 'you')",yourself,"('that', 'you', 'yourself')",may
that,you,yourself,"('you', 'yourself')",may,"('you', 'yourself', 'may')",privilege
you,yourself,may,"('yourself', 'may')",privilege,"('yourself', 'may', 'privilege')",your
yourself,may,privilege,"('may', 'privilege')",your,"('may', 'privilege', 'your')",time
may,privilege,your,"('privilege', 'your')",time,"('privilege', 'your', 'time')","
"
privilege,your,time,"('your', 'time')","
","
","
"
your,time,"
","
","
","
","
"
"
",to,what,"('to', 'what')",you,"('to', 'what', 'you')",will;
to,what,you,"('what', 'you')",will;,"('what', 'you', 'will;')",to
what,you,will;,"('you', 'will;')",to,"('you', 'will;', 'to')",you
you,will;,to,"('will;', 'to')",you,"('will;', 'to', 'you')",it
will;,to,you,"('to', 'you')",it,"('to', 'you', 'it')",doth
to,you,it,"('you', 'it')",doth,"('you', 'it', 'doth')",belong
you,it,doth,"('it', 'doth')",belong,"('it', 'doth', 'belong')","
"
it,doth,belong,"('doth', 'belong')","
","
","
"
doth,belong,"
","
","
","
","
"
"
",yourself,to,"('yourself', 'to')",pardon,"('yourself', 'to', 'pardon')",of
yourself,to,pardon,"('to', 'pardon')",of,"('to', 'pardon', 'of')",self
to,pardon,of,"('pardon', 'of')",self,"('pardon', 'of', 'self')",doing
pardon,of,self,"('of', 'self')",doing,"('of', 'self', 'doing')",crime
of,self,doing,"('self', 'doing')",crime,"('self', 'doing', 'crime')",
self,doing,crime,"('doing', 'crime')",,"('doing', 'crime', '')","
"
doing,crime,,"('crime', '')","
","
","
"
crime,,"
","
","
","
","
"
"
",,,"('', '')",i,"('', '', 'i')",am
,,i,"('', 'i')",am,"('', 'i', 'am')",to
,i,am,"('i', 'am')",to,"('i', 'am', 'to')",wait
i,am,to,"('am', 'to')",wait,"('am', 'to', 'wait')",
am,to,wait,"('to', 'wait')",,"('to', 'wait', '')",though
to,wait,,"('wait', '')",though,"('wait', '', 'though')",waiting
wait,,though,"('', 'though')",waiting,"('', 'though', 'waiting')",so
,though,waiting,"('though', 'waiting')",so,"('though', 'waiting', 'so')",be
though,waiting,so,"('waiting', 'so')",be,"('waiting', 'so', 'be')",hell;
waiting,so,be,"('so', 'be')",hell;,"('so', 'be', 'hell;')","
"
so,be,hell;,"('be', 'hell;')","
","
","
"
"
",,,"('', '')",not,"('', '', 'not')",blame
,,not,"('', 'not')",blame,"('', 'not', 'blame')",your
,not,blame,"('not', 'blame')",your,"('not', 'blame', 'your')",pleasure
not,blame,your,"('blame', 'your')",pleasure,"('blame', 'your', 'pleasure')",
blame,your,pleasure,"('your', 'pleasure')",,"('your', 'pleasure', '')",be
your,pleasure,,"('pleasure', '')",be,"('pleasure', '', 'be')",it
pleasure,,be,"('', 'be')",it,"('', 'be', 'it')",ill
,be,it,"('be', 'it')",ill,"('be', 'it', 'ill')",or
be,it,ill,"('it', 'ill')",or,"('it', 'ill', 'or')",well
it,ill,or,"('ill', 'or')",well,"('ill', 'or', 'well')",
ill,or,well,"('or', 'well')",,"('or', 'well', '')","
"
"
",if,there,"('if', 'there')",be,"('if', 'there', 'be')",nothing
if,there,be,"('there', 'be')",nothing,"('there', 'be', 'nothing')",new
there,be,nothing,"('be', 'nothing')",new,"('be', 'nothing', 'new')",
be,nothing,new,"('nothing', 'new')",,"('nothing', 'new', '')",but
nothing,new,,"('new', '')",but,"('new', '', 'but')",that
new,,but,"('', 'but')",that,"('', 'but', 'that')",which
,but,that,"('but', 'that')",which,"('but', 'that', 'which')",is
but,that,which,"('that', 'which')",is,"('that', 'which', 'is')","
"
that,which,is,"('which', 'is')","
","
","
"
which,is,"
","
","
","
","
"
"
",hath,been,"('hath', 'been')",before,"('hath', 'been', 'before')",
hath,been,before,"('been', 'before')",,"('been', 'before', '')",how
been,before,,"('before', '')",how,"('before', '', 'how')",are
before,,how,"('', 'how')",are,"('', 'how', 'are')",our
,how,are,"('how', 'are')",our,"('how', 'are', 'our')",brains
how,are,our,"('are', 'our')",brains,"('are', 'our', 'brains')",beguiled
are,our,brains,"('our', 'brains')",beguiled,"('our', 'brains', 'beguiled')",
our,brains,beguiled,"('brains', 'beguiled')",,"('brains', 'beguiled', '')","
"
brains,beguiled,,"('beguiled', '')","
","
","
"
beguiled,,"
","
","
","
","
"
"
",which,,"('which', '')",labouring,"('which', '', 'labouring')",for
which,,labouring,"('', 'labouring')",for,"('', 'labouring', 'for')",invention
,labouring,for,"('labouring', 'for')",invention,"('labouring', 'for', 'invention')",
labouring,for,invention,"('for', 'invention')",,"('for', 'invention', '')",bear
for,invention,,"('invention', '')",bear,"('invention', '', 'bear')",amiss
invention,,bear,"('', 'bear')",amiss,"('', 'bear', 'amiss')","
"
,bear,amiss,"('bear', 'amiss')","
","
","
"
bear,amiss,"
","
","
","
","
"
"
",the,second,"('the', 'second')",burden,"('the', 'second', 'burden')",of
the,second,burden,"('second', 'burden')",of,"('second', 'burden', 'of')",a
second,burden,of,"('burden', 'of')",a,"('burden', 'of', 'a')",former
burden,of,a,"('of', 'a')",former,"('of', 'a', 'former')",child!
of,a,former,"('a', 'former')",child!,"('a', 'former', 'child!')","
"
a,former,child!,"('former', 'child!')","
","
","
"
former,child!,"
","
","
","
","
"
"
",o,,"('o', '')",that,"('o', '', 'that')",record
o,,that,"('', 'that')",record,"('', 'that', 'record')",could
,that,record,"('that', 'record')",could,"('that', 'record', 'could')",with
that,record,could,"('record', 'could')",with,"('record', 'could', 'with')",a
record,could,with,"('could', 'with')",a,"('could', 'with', 'a')",backward
could,with,a,"('with', 'a')",backward,"('with', 'a', 'backward')",look
with,a,backward,"('a', 'backward')",look,"('a', 'backward', 'look')",
a,backward,look,"('backward', 'look')",,"('backward', 'look', '')","
"
backward,look,,"('look', '')","
","
","
"
look,,"
","
","
","
","
"
"
",even,of,"('even', 'of')",five,"('even', 'of', 'five')",hundred
even,of,five,"('of', 'five')",hundred,"('of', 'five', 'hundred')",courses
of,five,hundred,"('five', 'hundred')",courses,"('five', 'hundred', 'courses')",of
five,hundred,courses,"('hundred', 'courses')",of,"('hundred', 'courses', 'of')",the
hundred,courses,of,"('courses', 'of')",the,"('courses', 'of', 'the')",sun
courses,of,the,"('of', 'the')",sun,"('of', 'the', 'sun')",
of,the,sun,"('the', 'sun')",,"('the', 'sun', '')","
"
the,sun,,"('sun', '')","
","
","
"
sun,,"
","
","
","
","
"
"
",show,me,"('show', 'me')",your,"('show', 'me', 'your')",image
show,me,your,"('me', 'your')",image,"('me', 'your', 'image')",in
me,your,image,"('your', 'image')",in,"('your', 'image', 'in')",some
your,image,in,"('image', 'in')",some,"('image', 'in', 'some')",antique
image,in,some,"('in', 'some')",antique,"('in', 'some', 'antique')",book
in,some,antique,"('some', 'antique')",book,"('some', 'antique', 'book')",
some,antique,book,"('antique', 'book')",,"('antique', 'book', '')","
"
antique,book,,"('book', '')","
","
","
"
book,,"
","
","
","
","
"
"
",since,mind,"('since', 'mind')",at,"('since', 'mind', 'at')",first
since,mind,at,"('mind', 'at')",first,"('mind', 'at', 'first')",in
mind,at,first,"('at', 'first')",in,"('at', 'first', 'in')",character
at,first,in,"('first', 'in')",character,"('first', 'in', 'character')",was
first,in,character,"('in', 'character')",was,"('in', 'character', 'was')",done!
in,character,was,"('character', 'was')",done!,"('character', 'was', 'done!')","
"
character,was,done!,"('was', 'done!')","
","
","
"
was,done!,"
","
","
","
","
"
"
",that,i,"('that', 'i')",might,"('that', 'i', 'might')",see
that,i,might,"('i', 'might')",see,"('i', 'might', 'see')",what
i,might,see,"('might', 'see')",what,"('might', 'see', 'what')",the
might,see,what,"('see', 'what')",the,"('see', 'what', 'the')",old
see,what,the,"('what', 'the')",old,"('what', 'the', 'old')",world
what,the,old,"('the', 'old')",world,"('the', 'old', 'world')",could
the,old,world,"('old', 'world')",could,"('old', 'world', 'could')",say
old,world,could,"('world', 'could')",say,"('world', 'could', 'say')","
"
world,could,say,"('could', 'say')","
","
","
"
could,say,"
","
","
","
","
"
"
",to,this,"('to', 'this')",composed,"('to', 'this', 'composed')",wonder
to,this,composed,"('this', 'composed')",wonder,"('this', 'composed', 'wonder')",of
this,composed,wonder,"('composed', 'wonder')",of,"('composed', 'wonder', 'of')",your
composed,wonder,of,"('wonder', 'of')",your,"('wonder', 'of', 'your')",frame;
wonder,of,your,"('of', 'your')",frame;,"('of', 'your', 'frame;')","
"
of,your,frame;,"('your', 'frame;')","
","
","
"
your,frame;,"
","
","
","
","
"
"
",whether,we,"('whether', 'we')",are,"('whether', 'we', 'are')",mended
whether,we,are,"('we', 'are')",mended,"('we', 'are', 'mended')",
we,are,mended,"('are', 'mended')",,"('are', 'mended', '')",or
are,mended,,"('mended', '')",or,"('mended', '', 'or')",whether
mended,,or,"('', 'or')",whether,"('', 'or', 'whether')",better
,or,whether,"('or', 'whether')",better,"('or', 'whether', 'better')",they
or,whether,better,"('whether', 'better')",they,"('whether', 'better', 'they')",
whether,better,they,"('better', 'they')",,"('better', 'they', '')","
"
better,they,,"('they', '')","
","
","
"
they,,"
","
","
","
","
"
"
",or,whether,"('or', 'whether')",revolution,"('or', 'whether', 'revolution')",be
or,whether,revolution,"('whether', 'revolution')",be,"('whether', 'revolution', 'be')",the
whether,revolution,be,"('revolution', 'be')",the,"('revolution', 'be', 'the')",same
revolution,be,the,"('be', 'the')",same,"('be', 'the', 'same')",
be,the,same,"('the', 'same')",,"('the', 'same', '')","
"
the,same,,"('same', '')","
","
","
"
same,,"
","
","
","
","
"
"
",,,"('', '')",o,"('', '', 'o')",
,,o,"('', 'o')",,"('', 'o', '')",sure
,o,,"('o', '')",sure,"('o', '', 'sure')",i
o,,sure,"('', 'sure')",i,"('', 'sure', 'i')",am
,sure,i,"('sure', 'i')",am,"('sure', 'i', 'am')",
sure,i,am,"('i', 'am')",,"('i', 'am', '')",the
i,am,,"('am', '')",the,"('am', '', 'the')",wits
am,,the,"('', 'the')",wits,"('', 'the', 'wits')",of
,the,wits,"('the', 'wits')",of,"('the', 'wits', 'of')",former
the,wits,of,"('wits', 'of')",former,"('wits', 'of', 'former')",days
wits,of,former,"('of', 'former')",days,"('of', 'former', 'days')","
"
"
",,,"('', '')",to,"('', '', 'to')",subjects
,,to,"('', 'to')",subjects,"('', 'to', 'subjects')",worse
,to,subjects,"('to', 'subjects')",worse,"('to', 'subjects', 'worse')",have
to,subjects,worse,"('subjects', 'worse')",have,"('subjects', 'worse', 'have')",given
subjects,worse,have,"('worse', 'have')",given,"('worse', 'have', 'given')",admiring
worse,have,given,"('have', 'given')",admiring,"('have', 'given', 'admiring')",praise
have,given,admiring,"('given', 'admiring')",praise,"('given', 'admiring', 'praise')",
given,admiring,praise,"('admiring', 'praise')",,"('admiring', 'praise', '')","
"
"
",like,as,"('like', 'as')",the,"('like', 'as', 'the')",waves
like,as,the,"('as', 'the')",waves,"('as', 'the', 'waves')",make
as,the,waves,"('the', 'waves')",make,"('the', 'waves', 'make')",towards
the,waves,make,"('waves', 'make')",towards,"('waves', 'make', 'towards')",the
waves,make,towards,"('make', 'towards')",the,"('make', 'towards', 'the')",pebbled
make,towards,the,"('towards', 'the')",pebbled,"('towards', 'the', 'pebbled')",shore
towards,the,pebbled,"('the', 'pebbled')",shore,"('the', 'pebbled', 'shore')",
the,pebbled,shore,"('pebbled', 'shore')",,"('pebbled', 'shore', '')","
"
pebbled,shore,,"('shore', '')","
","
","
"
shore,,"
","
","
","
","
"
"
",so,do,"('so', 'do')",our,"('so', 'do', 'our')",minutes
so,do,our,"('do', 'our')",minutes,"('do', 'our', 'minutes')",hasten
do,our,minutes,"('our', 'minutes')",hasten,"('our', 'minutes', 'hasten')",to
our,minutes,hasten,"('minutes', 'hasten')",to,"('minutes', 'hasten', 'to')",their
minutes,hasten,to,"('hasten', 'to')",their,"('hasten', 'to', 'their')",end;
hasten,to,their,"('to', 'their')",end;,"('to', 'their', 'end;')","
"
to,their,end;,"('their', 'end;')","
","
","
"
their,end;,"
","
","
","
","
"
"
",each,changing,"('each', 'changing')",place,"('each', 'changing', 'place')",with
each,changing,place,"('changing', 'place')",with,"('changing', 'place', 'with')",that
changing,place,with,"('place', 'with')",that,"('place', 'with', 'that')",which
place,with,that,"('with', 'that')",which,"('with', 'that', 'which')",goes
with,that,which,"('that', 'which')",goes,"('that', 'which', 'goes')",before
that,which,goes,"('which', 'goes')",before,"('which', 'goes', 'before')",
which,goes,before,"('goes', 'before')",,"('goes', 'before', '')","
"
goes,before,,"('before', '')","
","
","
"
before,,"
","
","
","
","
"
"
",in,sequent,"('in', 'sequent')",toil,"('in', 'sequent', 'toil')",all
in,sequent,toil,"('sequent', 'toil')",all,"('sequent', 'toil', 'all')",forwards
sequent,toil,all,"('toil', 'all')",forwards,"('toil', 'all', 'forwards')",do
toil,all,forwards,"('all', 'forwards')",do,"('all', 'forwards', 'do')",contend
all,forwards,do,"('forwards', 'do')",contend,"('forwards', 'do', 'contend')",
forwards,do,contend,"('do', 'contend')",,"('do', 'contend', '')","
"
do,contend,,"('contend', '')","
","
","
"
contend,,"
","
","
","
","
"
"
",nativity,,"('nativity', '')",once,"('nativity', '', 'once')",in
nativity,,once,"('', 'once')",in,"('', 'once', 'in')",the
,once,in,"('once', 'in')",the,"('once', 'in', 'the')",main
once,in,the,"('in', 'the')",main,"('in', 'the', 'main')",of
in,the,main,"('the', 'main')",of,"('the', 'main', 'of')",light
the,main,of,"('main', 'of')",light,"('main', 'of', 'light')",
main,of,light,"('of', 'light')",,"('of', 'light', '')","
"
of,light,,"('light', '')","
","
","
"
light,,"
","
","
","
","
"
"
",crawls,to,"('crawls', 'to')",maturity,"('crawls', 'to', 'maturity')",
crawls,to,maturity,"('to', 'maturity')",,"('to', 'maturity', '')",wherewith
to,maturity,,"('maturity', '')",wherewith,"('maturity', '', 'wherewith')",being
maturity,,wherewith,"('', 'wherewith')",being,"('', 'wherewith', 'being')",crown'd
,wherewith,being,"('wherewith', 'being')",crown'd,"('wherewith', 'being', ""crown'd"")",
wherewith,being,crown'd,"('being', ""crown'd"")",,"('being', ""crown'd"", '')","
"
being,crown'd,,"(""crown'd"", '')","
","
","
"
crown'd,,"
","
","
","
","
"
"
",crooked,elipses,"('crooked', 'elipses')",'gainst,"('crooked', 'elipses', ""'gainst"")",his
crooked,elipses,'gainst,"('elipses', ""'gainst"")",his,"('elipses', ""'gainst"", 'his')",glory
elipses,'gainst,his,"(""'gainst"", 'his')",glory,"(""'gainst"", 'his', 'glory')",fight
'gainst,his,glory,"('his', 'glory')",fight,"('his', 'glory', 'fight')",
his,glory,fight,"('glory', 'fight')",,"('glory', 'fight', '')","
"
glory,fight,,"('fight', '')","
","
","
"
fight,,"
","
","
","
","
"
"
",and,time,"('and', 'time')",that,"('and', 'time', 'that')",gave
and,time,that,"('time', 'that')",gave,"('time', 'that', 'gave')",doth
time,that,gave,"('that', 'gave')",doth,"('that', 'gave', 'doth')",now
that,gave,doth,"('gave', 'doth')",now,"('gave', 'doth', 'now')",his
gave,doth,now,"('doth', 'now')",his,"('doth', 'now', 'his')",gift
doth,now,his,"('now', 'his')",gift,"('now', 'his', 'gift')",confound
now,his,gift,"('his', 'gift')",confound,"('his', 'gift', 'confound')",
his,gift,confound,"('gift', 'confound')",,"('gift', 'confound', '')","
"
gift,confound,,"('confound', '')","
","
","
"
confound,,"
","
","
","
","
"
"
",time,doth,"('time', 'doth')",transfix,"('time', 'doth', 'transfix')",the
time,doth,transfix,"('doth', 'transfix')",the,"('doth', 'transfix', 'the')",flourish
doth,transfix,the,"('transfix', 'the')",flourish,"('transfix', 'the', 'flourish')",set
transfix,the,flourish,"('the', 'flourish')",set,"('the', 'flourish', 'set')",on
the,flourish,set,"('flourish', 'set')",on,"('flourish', 'set', 'on')",youth
flourish,set,on,"('set', 'on')",youth,"('set', 'on', 'youth')","
"
set,on,youth,"('on', 'youth')","
","
","
"
on,youth,"
","
","
","
","
"
"
",and,delves,"('and', 'delves')",the,"('and', 'delves', 'the')",parallels
and,delves,the,"('delves', 'the')",parallels,"('delves', 'the', 'parallels')",in
delves,the,parallels,"('the', 'parallels')",in,"('the', 'parallels', 'in')",beauty's
the,parallels,in,"('parallels', 'in')",beauty's,"('parallels', 'in', ""beauty's"")",brow
parallels,in,beauty's,"('in', ""beauty's"")",brow,"('in', ""beauty's"", 'brow')",
in,beauty's,brow,"(""beauty's"", 'brow')",,"(""beauty's"", 'brow', '')","
"
beauty's,brow,,"('brow', '')","
","
","
"
brow,,"
","
","
","
","
"
"
",feeds,on,"('feeds', 'on')",the,"('feeds', 'on', 'the')",rarities
feeds,on,the,"('on', 'the')",rarities,"('on', 'the', 'rarities')",of
on,the,rarities,"('the', 'rarities')",of,"('the', 'rarities', 'of')",nature's
the,rarities,of,"('rarities', 'of')",nature's,"('rarities', 'of', ""nature's"")",truth
rarities,of,nature's,"('of', ""nature's"")",truth,"('of', ""nature's"", 'truth')",
of,nature's,truth,"(""nature's"", 'truth')",,"(""nature's"", 'truth', '')","
"
nature's,truth,,"('truth', '')","
","
","
"
truth,,"
","
","
","
","
"
"
",and,nothing,"('and', 'nothing')",stands,"('and', 'nothing', 'stands')",but
and,nothing,stands,"('nothing', 'stands')",but,"('nothing', 'stands', 'but')",for
nothing,stands,but,"('stands', 'but')",for,"('stands', 'but', 'for')",his
stands,but,for,"('but', 'for')",his,"('but', 'for', 'his')",scythe
but,for,his,"('for', 'his')",scythe,"('for', 'his', 'scythe')",to
for,his,scythe,"('his', 'scythe')",to,"('his', 'scythe', 'to')",mow
his,scythe,to,"('scythe', 'to')",mow,"('scythe', 'to', 'mow')",
scythe,to,mow,"('to', 'mow')",,"('to', 'mow', '')","
"
to,mow,,"('mow', '')","
","
","
"
mow,,"
","
","
","
","
"
"
",,,"('', '')",and,"('', '', 'and')",yet
,,and,"('', 'and')",yet,"('', 'and', 'yet')",to
,and,yet,"('and', 'yet')",to,"('and', 'yet', 'to')",times
and,yet,to,"('yet', 'to')",times,"('yet', 'to', 'times')",in
yet,to,times,"('to', 'times')",in,"('to', 'times', 'in')",hope
to,times,in,"('times', 'in')",hope,"('times', 'in', 'hope')",my
times,in,hope,"('in', 'hope')",my,"('in', 'hope', 'my')",verse
in,hope,my,"('hope', 'my')",verse,"('hope', 'my', 'verse')",shall
hope,my,verse,"('my', 'verse')",shall,"('my', 'verse', 'shall')",stand
my,verse,shall,"('verse', 'shall')",stand,"('verse', 'shall', 'stand')",
verse,shall,stand,"('shall', 'stand')",,"('shall', 'stand', '')","
"
"
",,,"('', '')",praising,"('', '', 'praising')",thy
,,praising,"('', 'praising')",thy,"('', 'praising', 'thy')",worth
,praising,thy,"('praising', 'thy')",worth,"('praising', 'thy', 'worth')",
praising,thy,worth,"('thy', 'worth')",,"('thy', 'worth', '')",despite
thy,worth,,"('worth', '')",despite,"('worth', '', 'despite')",his
worth,,despite,"('', 'despite')",his,"('', 'despite', 'his')",cruel
,despite,his,"('despite', 'his')",cruel,"('despite', 'his', 'cruel')",hand
despite,his,cruel,"('his', 'cruel')",hand,"('his', 'cruel', 'hand')",
his,cruel,hand,"('cruel', 'hand')",,"('cruel', 'hand', '')","
"
"
",is,it,"('is', 'it')",thy,"('is', 'it', 'thy')",will
is,it,thy,"('it', 'thy')",will,"('it', 'thy', 'will')",thy
it,thy,will,"('thy', 'will')",thy,"('thy', 'will', 'thy')",image
thy,will,thy,"('will', 'thy')",image,"('will', 'thy', 'image')",should
will,thy,image,"('thy', 'image')",should,"('thy', 'image', 'should')",keep
thy,image,should,"('image', 'should')",keep,"('image', 'should', 'keep')",open
image,should,keep,"('should', 'keep')",open,"('should', 'keep', 'open')","
"
should,keep,open,"('keep', 'open')","
","
","
"
keep,open,"
","
","
","
","
"
"
",my,heavy,"('my', 'heavy')",eyelids,"('my', 'heavy', 'eyelids')",to
my,heavy,eyelids,"('heavy', 'eyelids')",to,"('heavy', 'eyelids', 'to')",the
heavy,eyelids,to,"('eyelids', 'to')",the,"('eyelids', 'to', 'the')",weary
eyelids,to,the,"('to', 'the')",weary,"('to', 'the', 'weary')",night?
to,the,weary,"('the', 'weary')",night?,"('the', 'weary', 'night?')","
"
the,weary,night?,"('weary', 'night?')","
","
","
"
weary,night?,"
","
","
","
","
"
"
",dost,thou,"('dost', 'thou')",desire,"('dost', 'thou', 'desire')",my
dost,thou,desire,"('thou', 'desire')",my,"('thou', 'desire', 'my')",slumbers
thou,desire,my,"('desire', 'my')",slumbers,"('desire', 'my', 'slumbers')",should
desire,my,slumbers,"('my', 'slumbers')",should,"('my', 'slumbers', 'should')",be
my,slumbers,should,"('slumbers', 'should')",be,"('slumbers', 'should', 'be')",broken
slumbers,should,be,"('should', 'be')",broken,"('should', 'be', 'broken')",
should,be,broken,"('be', 'broken')",,"('be', 'broken', '')","
"
be,broken,,"('broken', '')","
","
","
"
broken,,"
","
","
","
","
"
"
",while,shadows,"('while', 'shadows')",like,"('while', 'shadows', 'like')",to
while,shadows,like,"('shadows', 'like')",to,"('shadows', 'like', 'to')",thee
shadows,like,to,"('like', 'to')",thee,"('like', 'to', 'thee')",do
like,to,thee,"('to', 'thee')",do,"('to', 'thee', 'do')",mock
to,thee,do,"('thee', 'do')",mock,"('thee', 'do', 'mock')",my
thee,do,mock,"('do', 'mock')",my,"('do', 'mock', 'my')",sight?
do,mock,my,"('mock', 'my')",sight?,"('mock', 'my', 'sight?')","
"
mock,my,sight?,"('my', 'sight?')","
","
","
"
my,sight?,"
","
","
","
","
"
"
",is,it,"('is', 'it')",thy,"('is', 'it', 'thy')",spirit
is,it,thy,"('it', 'thy')",spirit,"('it', 'thy', 'spirit')",that
it,thy,spirit,"('thy', 'spirit')",that,"('thy', 'spirit', 'that')",thou
thy,spirit,that,"('spirit', 'that')",thou,"('spirit', 'that', 'thou')",send'st
spirit,that,thou,"('that', 'thou')",send'st,"('that', 'thou', ""send'st"")",from
that,thou,send'st,"('thou', ""send'st"")",from,"('thou', ""send'st"", 'from')",thee
thou,send'st,from,"(""send'st"", 'from')",thee,"(""send'st"", 'from', 'thee')","
"
send'st,from,thee,"('from', 'thee')","
","
","
"
from,thee,"
","
","
","
","
"
"
",so,far,"('so', 'far')",from,"('so', 'far', 'from')",home
so,far,from,"('far', 'from')",home,"('far', 'from', 'home')",into
far,from,home,"('from', 'home')",into,"('from', 'home', 'into')",my
from,home,into,"('home', 'into')",my,"('home', 'into', 'my')",deeds
home,into,my,"('into', 'my')",deeds,"('into', 'my', 'deeds')",to
into,my,deeds,"('my', 'deeds')",to,"('my', 'deeds', 'to')",pry
my,deeds,to,"('deeds', 'to')",pry,"('deeds', 'to', 'pry')",
deeds,to,pry,"('to', 'pry')",,"('to', 'pry', '')","
"
to,pry,,"('pry', '')","
","
","
"
pry,,"
","
","
","
","
"
"
",to,find,"('to', 'find')",out,"('to', 'find', 'out')",shames
to,find,out,"('find', 'out')",shames,"('find', 'out', 'shames')",and
find,out,shames,"('out', 'shames')",and,"('out', 'shames', 'and')",idle
out,shames,and,"('shames', 'and')",idle,"('shames', 'and', 'idle')",hours
shames,and,idle,"('and', 'idle')",hours,"('and', 'idle', 'hours')",in
and,idle,hours,"('idle', 'hours')",in,"('idle', 'hours', 'in')",me
idle,hours,in,"('hours', 'in')",me,"('hours', 'in', 'me')",
hours,in,me,"('in', 'me')",,"('in', 'me', '')","
"
in,me,,"('me', '')","
","
","
"
me,,"
","
","
","
","
"
"
",the,scope,"('the', 'scope')",and,"('the', 'scope', 'and')",tenor
the,scope,and,"('scope', 'and')",tenor,"('scope', 'and', 'tenor')",of
scope,and,tenor,"('and', 'tenor')",of,"('and', 'tenor', 'of')",thy
and,tenor,of,"('tenor', 'of')",thy,"('tenor', 'of', 'thy')",jealousy?
tenor,of,thy,"('of', 'thy')",jealousy?,"('of', 'thy', 'jealousy?')","
"
of,thy,jealousy?,"('thy', 'jealousy?')","
","
","
"
thy,jealousy?,"
","
","
","
","
"
"
",o,,"('o', '')",no!,"('o', '', 'no!')",thy
o,,no!,"('', 'no!')",thy,"('', 'no!', 'thy')",love
,no!,thy,"('no!', 'thy')",love,"('no!', 'thy', 'love')",
no!,thy,love,"('thy', 'love')",,"('thy', 'love', '')",though
thy,love,,"('love', '')",though,"('love', '', 'though')",much
love,,though,"('', 'though')",much,"('', 'though', 'much')",
,though,much,"('though', 'much')",,"('though', 'much', '')",is
though,much,,"('much', '')",is,"('much', '', 'is')",not
much,,is,"('', 'is')",not,"('', 'is', 'not')",so
,is,not,"('is', 'not')",so,"('is', 'not', 'so')",great
is,not,so,"('not', 'so')",great,"('not', 'so', 'great')",
not,so,great,"('so', 'great')",,"('so', 'great', '')","
"
so,great,,"('great', '')","
","
","
"
great,,"
","
","
","
","
"
"
",it,is,"('it', 'is')",my,"('it', 'is', 'my')",love
it,is,my,"('is', 'my')",love,"('is', 'my', 'love')",that
is,my,love,"('my', 'love')",that,"('my', 'love', 'that')",keeps
my,love,that,"('love', 'that')",keeps,"('love', 'that', 'keeps')",mine
love,that,keeps,"('that', 'keeps')",mine,"('that', 'keeps', 'mine')",eye
that,keeps,mine,"('keeps', 'mine')",eye,"('keeps', 'mine', 'eye')",awake;
keeps,mine,eye,"('mine', 'eye')",awake;,"('mine', 'eye', 'awake;')","
"
mine,eye,awake;,"('eye', 'awake;')","
","
","
"
eye,awake;,"
","
","
","
","
"
"
",mine,own,"('mine', 'own')",true,"('mine', 'own', 'true')",love
mine,own,true,"('own', 'true')",love,"('own', 'true', 'love')",that
own,true,love,"('true', 'love')",that,"('true', 'love', 'that')",doth
true,love,that,"('love', 'that')",doth,"('love', 'that', 'doth')",my
love,that,doth,"('that', 'doth')",my,"('that', 'doth', 'my')",rest
that,doth,my,"('doth', 'my')",rest,"('doth', 'my', 'rest')",defeat
doth,my,rest,"('my', 'rest')",defeat,"('my', 'rest', 'defeat')",
my,rest,defeat,"('rest', 'defeat')",,"('rest', 'defeat', '')","
"
rest,defeat,,"('defeat', '')","
","
","
"
defeat,,"
","
","
","
","
"
"
",to,play,"('to', 'play')",the,"('to', 'play', 'the')",watchman
to,play,the,"('play', 'the')",watchman,"('play', 'the', 'watchman')",ever
play,the,watchman,"('the', 'watchman')",ever,"('the', 'watchman', 'ever')",for
the,watchman,ever,"('watchman', 'ever')",for,"('watchman', 'ever', 'for')",thy
watchman,ever,for,"('ever', 'for')",thy,"('ever', 'for', 'thy')",sake
ever,for,thy,"('for', 'thy')",sake,"('for', 'thy', 'sake')",
for,thy,sake,"('thy', 'sake')",,"('thy', 'sake', '')","
"
thy,sake,,"('sake', '')","
","
","
"
sake,,"
","
","
","
","
"
"
",,,"('', '')",for,"('', '', 'for')",thee
,,for,"('', 'for')",thee,"('', 'for', 'thee')",watch
,for,thee,"('for', 'thee')",watch,"('for', 'thee', 'watch')",i
for,thee,watch,"('thee', 'watch')",i,"('thee', 'watch', 'i')",whilst
